date,temp_min,temp_max,weathercode
2026-08-03,24.9,32.5,2
2026-08-03,24.9,32.5,2
2026-08-03,24.9,32.1,1
2026-08-03,24.9,32.1,1
2026-08-03,24.9,32.1,1
2026-08-03,24.9,32.1,1
2026-08-03,24.9,32.1,1
2026-08-03,24.9,32.1,1
2026-08-03,24.9,32.1,1
2026-08-03,24.9,32.1,1
2026-08-03,24.9,32.1,1
2026-08-03,24.9,32.1,1
2026-08-03,24.9,32.1,1
2026-08-04,23.8,29.9,2
2026-08-04,24.1,29.8,3
2026-08-04,24.1,29.8,3
2026-08-04,24.1,29.8,3
2026-08-04,24.1,29.8,3
2026-08-04,24.1,29.8,3
2026-08-04,24.1,29.8,3
2026-08-04,24.1,29.8,3
2026-08-04,23.6,29.9,2
2026-08-04,23.6,29.9,2
2026-08-05,23.3,30.0,2
2026-08-05,23.3,30.0,2
2026-08-05,23.3,30.0,2
2026-08-06,23.6,30.4,2
2026-08-06,23.3,30.1,2
2026-08-07,23.7,29.5,2
2026-08-08,24.8,30.2,2
2026-08-09,24.5,30.8,2
2026-08-11,24.2,32.2,2
2026-08-13,23.9,30.2,45
2026-08-14,24.9,30.8,3
2026-08-15,25.4,30.8,3
2026-08-16,24.5,30.4,2
2026-08-18,22.9,30.1,2
2026-08-20,24.0,29.8,2
2026-08-21,25.5,30.5,2
2026-08-21,25.5,30.6,3
2026-08-22,25.6,30.5,2
2026-08-22,25.5,30.4,2
2026-08-23,23.8,29.4,45
2026-08-24,22.5,30.2,45
2026-08-25,22.5,30.2,2
2026-08-26,23.3,31.5,45
2026-08-28,23.6,30.3,45
2026-08-29,24.0,30.5,2
2026-08-30,23.1,28.9,3
2026-08-31,23.7,30.1,2
2026-09-01,22.7,30.0,2
2026-09-03,23.9,30.2,2
2026-09-04,23.6,30.3,2
2026-09-05,23.1,29.9,2
2026-09-06,23.8,29.5,2
2026-09-11,23.7,29.1,2
2026-09-11,23.7,28.9,2
2026-09-13,23.1,30.0,2
2026-09-14,22.9,30.8,2
2026-09-14,22.7,30.8,2
2026-09-16,23.1,30.6,2
2026-09-17,23.0,30.9,2
2026-09-17,23.1,31.4,2
2026-09-18,22.5,27.1,80
2026-09-18,22.5,28.6,80
2026-09-19,22.3,28.5,3
2026-09-22,22.6,28.7,3
2026-09-22,22.6,28.7,3
2026-09-22,22.6,28.7,3
2026-09-22,22.6,28.7,3
2026-09-22,22.6,28.7,3
2026-09-22,22.6,28.7,3
2026-09-22,22.6,28.7,3
2026-09-22,22.6,28.7,3
2026-09-22,22.6,28.7,3
2026-09-22,22.6,28.7,3
2026-09-22,22.6,28.7,3
2026-09-22,22.6,28.7,3
2026-09-22,22.6,28.7,3
2026-09-22,22.6,28.7,3
2026-09-22,22.6,28.7,3
2026-09-22,22.6,28.7,3
2026-09-22,22.6,28.7,3
2026-09-22,22.6,28.7,3
2026-09-22,22.6,28.7,3
2026-09-22,22.6,28.7,3
2026-09-22,22.6,28.7,3
2026-09-22,22.6,28.7,3
2026-09-22,22.6,28.7,3
2026-09-22,22.6,28.7,3
2026-09-22,22.6,28.7,3
2026-09-23,23.4,28.3,3
2026-09-23,23.4,28.3,3
2026-09-23,22.7,28.2,3
2026-09-23,23.4,28.3,3
2026-09-23,22.7,28.2,3
2026-09-23,22.7,28.2,3
2026-09-23,22.7,28.2,3
